feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,output
-1.017,-4.059,-2.196,1.505,-6.243,1.694,-1.748,-3.889,-3.731,-0.365,0.317,2.146,-0.919,-3.775,-0.924,1.057,0.27,-1.67,-1.071,-0.601,1
0.54,4.323,0.142,3.353,3.76,1.689,-5.047,2.37,-1.179,2.026,0.873,-0.208,2.838,-4.252,-0.45,1.038,-1.068,-1.874,0.077,-10.15,1
-2.006,-1.922,-3.162,1.868,-7.405,-2.468,-13.194,3.474,1.571,2.899,1.077,-2.329,-4.693,1.066,-0.133,2.428,-2.62,-0.291,1.033,-13.03,1
0.242,-3.102,0.14,-0.387,-1.91,2.29,-0.401,-4.494,-2.644,0.61,0.764,4.513,0.603,-1.704,2.461,-0.009,0.465,0.502,2.483,-0.34,0
0.475,4.083,2.244,-0.338,12.603,0.327,-0.93,0.313,-3.79,-0.955,4.346,4.052,-2.247,-2.208,0.049,2.397,-2.588,-1.512,-1.802,-11.398,0
1.967,7.973,1.266,4.455,8.47,0.186,-3.583,-0.591,0.923,2.27,2.303,2.192,1.249,-10.1,1.047,3.651,-1.559,-1.663,-0.209,-12.221,1
4.081,-2.883,-2.88,0.438,-3.341,0.553,-0.346,-1.758,-2.57,0.814,-3.805,3.213,-0.72,-2.596,-0.864,-3.629,3.447,5.459,-2.708,15.032,0
-3.31,-1.61,-1.65,0.345,-0.967,1.713,4.36,-1.087,0.114,-2.722,1.7,0.392,1.8,-2.734,0.613,-0.319,-2.471,-0.409,-3.269,-0.387,1
-2.501,-0.76,2.012,2.68,5.542,-5.811,-6.226,-1.64,-1.129,0.639,4.942,3.676,-1.173,-4.1,-1.715,2.628,1.794,1.681,-3.309,-0.926,0
1.678,-4.407,4.172,1.044,4.352,-4.333,-1.65,-1.83,0.327,0.801,4.907,1.616,-2.014,1.228,0.019,3.178,2.522,2.722,-2.151,6.445,0
-1.687,-2.144,-2.446,0.017,0.56,-3.259,-4.171,-3.503,-4.385,0.343,2.011,4.631,0.217,-4.434,-2.74,-0.311,1.095,-0.409,-0.402,-0.231,1
0.484,4.228,5.882,0.784,1.545,1.126,8.244,-2.098,2.846,2.289,0.926,1.163,3.084,-9.224,6.218,1.165,0.415,-0.794,-3.902,-2.624,1
3.053,1.139,0.271,-0.626,11.362,1.03,1.554,-3.398,3.116,0.449,2.998,1.988,7.368,0.572,0.828,5.623,4.426,-0.608,2.789,8.476,0
3.346,6.051,2.822,-1.933,12.893,0.778,1.53,0.517,-3.737,1.103,1.086,0.421,0.058,2.836,-0.374,2.393,-0.207,0.704,-1.383,-3.403,1
0.413,0.753,1.089,2.576,-0.517,3.658,-1.1,-1.937,0.619,1.67,0.559,3.363,4.087,-6.343,3.85,0.093,0.34,-0.778,2.379,-4.569,0
-0.095,1.61,0.743,0.206,-0.317,-1.596,-5.804,-0.863,-0.387,2.446,2.496,2.394,-1.36,-4.102,2.968,1.514,-0.051,-1.545,1.292,-10.591,0
2.873,-0.042,0.071,-2.925,6.274,4.786,10.472,0.195,0.584,-1.251,-0.905,3.03,4.219,-1.577,3.351,-2.74,-0.647,2.646,-2.91,8.709,0
2.686,-0.288,1.911,1.451,15.999,-4.701,-2.15,0.437,0.526,-1.052,6.316,5.505,6.502,-2.876,-1.699,-1.05,5.531,2.391,-0.573,11.776,0
-0.215,-0.845,0.757,-0.319,-0.218,-0.354,5.553,-4.101,-1.504,-3.016,-1.401,-0.462,-1.553,3.573,-2.196,-0.545,1.077,1.901,0.496,10.044,0
2.984,-2.002,-1.969,0.502,2.401,-7.094,2.795,-0.333,1.633,2.38,1.315,-1.909,1.73,-4.343,-4.248,0.285,0.782,3.846,-6.331,13.377,0
3.106,1.317,7.354,2.024,3.678,1.004,4.503,-2.503,2.187,2.547,1.674,0.263,3.152,-1.153,4.014,1.085,0.529,1.009,3.729,0.058,0
2.808,-0.649,-0.045,-1.955,1.824,1.808,4.929,-1.377,-0.4,1.074,-1.272,1.87,1.302,-0.18,2.596,-1.702,-0.255,4.502,-1.635,7.183,0
-3.112,-3.355,-4.12,5.376,-5.166,8.037,-4.614,2.247,-1.968,-1.627,1.075,-0.328,2.859,-2.642,0.395,-0.52,-5.606,-0.607,-0.912,-10.751,1
-0.638,0.775,2.813,3.494,0.054,-0.16,1.173,-0.858,2.126,-1.662,0.927,1.9,-2.988,-4.517,0.818,-0.817,-2.581,-0.426,2.141,-5.015,1
-2.65,-3.386,-2.828,-1.118,-7.715,-0.42,2.851,-4.696,-1.871,-3.034,1.02,0.856,-2.422,-1.642,1.171,-1.236,-0.79,0.119,-1.855,2.254,1
-1.188,-5.742,-1.741,-0.997,-1.515,1.671,-4.919,-1.649,-3.81,-0.845,1.796,0.063,-0.572,8.012,-0.645,2.564,1.715,2.051,-0.559,4.012,1
-4.118,2.439,0.823,-1.88,5.859,8.527,-7.096,7.791,0.073,-1.637,-2.947,-3.392,1.07,17.644,0.828,3.317,0.502,0.475,2.587,-6.701,1
-0.401,-0.984,-0.093,3.358,-5.286,1.423,-12.922,6.029,2.965,4.158,0.142,0.085,-0.347,-2.333,3.093,0.962,0.338,-0.99,1.051,-11.932,1
2.206,-0.91,0.015,3.897,-3.064,-1.949,-2.365,0.383,1.583,1.838,2.541,0.07,0.925,-9.209,0.328,0.066,-0.001,-2.278,-1.443,-3.198,1
5.367,-1.083,-5.416,-6.188,16.799,0.244,8.966,6.326,1.56,-4.71,0.163,3.616,2.648,2.936,-3.111,-5.358,-0.777,3.748,-4.368,17.618,0
1.888,-3.045,2.839,-1.544,3.644,-1.193,9.561,-0.265,1.845,-3.226,0.354,0.874,-1.895,0.831,-1.865,-1.01,0.302,-1.093,-0.66,9.981,0
4.156,0.438,1.07,-2.593,11.835,-2.085,11.708,-0.766,4.796,-1.044,2.85,3.068,3.719,-4.594,0.461,-1.26,-2.461,-0.001,1.392,6.672,0
2.886,-1.904,0.209,2.508,2.325,12.394,2.65,0.886,0.266,-6.389,-2.896,3.196,-1.923,4.18,2.761,0.469,1.849,0.982,0.34,8.055,1
-0.571,0.574,-1.466,4.194,-9.92,-3.313,-12.313,-0.169,-4.26,2.686,0.748,-0.82,-1.706,-4.842,0.372,-2.171,3.082,1.123,-2.271,-5.034,1
4.152,3.072,3.996,1.052,13.893,-5.501,9.433,1.008,6.131,-1.346,1.163,-0.366,1.377,-1.199,-2.932,-0.981,-0.077,4.264,-0.789,14.316,0
-4.289,-2.321,1.185,0.565,0.487,0.403,2.184,0.07,-0.787,-4.61,-1.548,0.506,-1.533,6.78,-2.626,-3.225,-0.342,3.458,1.123,7.275,1
2.364,-3.585,0.233,1.936,-1.706,0.088,-1.637,-0.383,0.732,4.202,1.931,1.566,6.525,-5.518,2.44,-1.141,1.436,1.88,-0.437,3.436,0
2.548,1.987,1.248,-0.283,1.696,2.319,6.449,-1.422,-0.971,1.645,-4.297,3.133,0.394,-4.204,1.793,-3.116,-0.413,5.355,-2.972,7.307,0
0.523,-1.63,3.564,-0.23,3.842,-0.96,7.09,-0.025,1.342,-1.536,0.334,0.234,-0.614,2.031,-0.195,-1.697,-0.918,3.411,-1.447,8.07,0
1.158,-3.482,-0.275,-1.929,2.875,-0.993,7.521,-1.943,1.066,-4.318,1.894,-0.674,1.821,4.112,-1.443,-1.155,1.827,0.406,0.23,13.978,0
-1.111,-0.721,-3.53,0.39,-6.498,1.09,-6.258,-2.393,-4.215,-0.851,-0.686,1.211,0.563,0.126,0.811,-1.842,3.92,0.699,-0.041,2.39,1
2.587,-2.8,0.364,3.352,-3.454,1.451,-3.221,-2.217,-0.284,4.101,0.319,-0.126,1.859,-2.538,1.776,2.28,0.587,3.876,-1.448,2.842,0
0.741,2.601,1.707,-5.326,11.324,2.45,14.658,0.067,1.235,-1.934,0.608,1.287,2.819,-0.316,0.451,0.717,-4.022,-3.195,-0.863,-0.832,0
0.078,-0.169,0.472,2.706,-5.424,-2.769,5.265,-3.539,3.94,-2.232,-0.003,-0.032,-1.54,-8.356,0.451,-0.156,2.239,-1.022,-2.942,8.168,0
0.315,1.504,3.291,0.917,1.744,-2.43,8.277,3.49,4.607,1.368,-4.979,0.368,2.21,-5.21,-2.295,-5.001,-0.032,2.086,-1.763,9.537,0
1.749,-0.924,4.484,-2.072,-4.98,5.642,3.539,2.074,-2.909,2.97,-1.499,-4.85,0.365,7.121,4.751,0.361,-0.869,0.806,-2.306,-3.71,1
3.75,-0.946,0.534,-2.476,8.737,-1.941,1.085,1.727,3.514,-0.525,0.167,0.603,-0.719,5.997,-0.508,1.714,3.454,4.157,-1.105,13.993,0
2.39,-2.669,-1.132,2.763,-9.137,4.054,-4.008,3.063,0.461,1.858,3.037,-4.392,-0.925,-2.177,4.203,0.937,-4.767,-3.058,-0.305,-14.633,1
-2.597,2.66,0.557,-2.096,6.707,-1.428,0.671,-0.415,0.602,-0.195,3.41,-1.189,2.156,4.134,1.686,2.065,-1.934,2.011,-0.478,-3.963,1
0.972,1.212,-0.933,0.115,-4.614,-3.586,-4.842,-2.372,-0.658,2.528,3.446,-1.326,-0.701,-3.72,3.459,1.534,1.398,0.14,-2.109,-4.623,1
1.394,-5.757,2.879,0.29,-1.093,1.159,-1.301,-0.123,-0.984,5.341,-0.512,-1.785,0.494,5.76,0.095,4.047,-0.421,5.215,-2.47,4.574,0
1.58,-0.314,1.253,-2.045,1.198,-2.66,12.491,2.117,4.272,-0.495,-2.949,0.2,1.998,-5.147,-1.303,-5.196,-0.419,0.386,-2.862,11.785,0
6.278,-2.65,-1.684,4.116,-0.11,1.195,-4.79,-0.954,4.524,2.381,-1.37,-0.376,5.614,-0.064,-0.461,1.803,6.374,3.228,3.669,16.612,0
3.41,-4.236,4.637,1.127,9.347,-0.074,0.172,-2.736,1.619,-0.375,4.719,3.142,2.108,4.705,2.341,2.977,3.924,5.384,1.021,12.776,0
0.115,-2.167,3.323,-0.5,9.866,3.928,-3.02,5.824,-1.24,-0.454,-1.438,1.362,3.702,9.694,-2.726,0.922,5.134,0.965,-0.301,8.7,0
1.212,-0.05,0.111,-0.939,0.874,1.945,2.686,-4.479,0.222,1.266,-0.17,1.891,3.971,-0.635,2.664,1.109,1.547,1.341,2.448,4.398,0
-4.81,-2.719,-1.06,2.904,-10.125,2.146,-6.366,-0.938,-0.6,-0.654,-1.334,-1.681,-2.117,2.352,0.583,1.835,0.989,0.72,-1.034,-2.116,1
-0.196,-1.205,-2.636,1.006,-1.68,4.222,2.756,-2.629,0.872,-4.007,-0.523,2.781,-0.646,-2.951,1.396,-0.03,-0.002,-0.65,0.05,3.46,1
-1.715,-0.69,8.151,4.812,0.55,-0.999,7.745,-1.978,5.671,-1.99,0.605,-1.049,3.209,-0.643,0.923,-1.514,1.408,1.546,3.274,8.76,0
1.505,2.469,3.299,1.037,3.061,-1.648,8.891,-1.48,1.85,-1.135,2.449,0.907,3.21,-10.155,1.2,-0.501,2.089,-3.998,-4.144,3.479,1
1.048,0.451,3.331,3.872,0.011,-4.354,2.022,-1.847,3.023,0.371,-2.21,1.316,0.57,-4.79,-2.817,-2.31,3.509,2.092,1.676,11.598,0
-0.967,-3.176,1.401,1.554,-1.436,-1.667,-4.362,0.147,4.366,-0.574,0.286,1.805,0.955,0.614,0.181,1.213,5.813,-0.735,2.54,7.868,0
-0.345,1.201,0.512,2.604,1.089,3.563,7.237,1.001,-4.216,-2.063,1.678,1.25,5.17,-10.919,-0.234,-3.754,-1.081,-3.782,-7.295,-2.081,1
-0.19,-2.739,0.333,2.847,-17.136,-2.271,2.352,-3.433,2.355,4.796,-0.474,-3.102,0.933,-12.117,2.676,0.175,-0.902,-3.674,-2.045,-4.566,0
4.712,-2.821,3.969,-0.428,7.742,4.457,11.085,-1.473,1.829,-0.982,1.688,-0.117,6.44,2.85,1.319,0.828,0.583,0.369,1.875,11.252,0
0.56,-0.625,2.258,-2.045,-1.293,3.942,9.63,-2.919,4.822,-2.049,-0.202,2.354,2.132,-1.643,7.07,-1.316,0.26,0.153,2.326,4.629,0
-1.679,-2.763,-0.489,2.106,-8.039,1.578,-6.498,-0.805,-2.349,0.97,-0.315,-2.106,-0.099,3.091,1.059,1.296,2.849,1.775,-1.894,1.402,1
0.503,1.041,-0.088,0.64,1.013,5.095,3.097,-0.119,-3.147,-1.905,0.638,-1.722,0.269,0.974,0.761,1.389,-1.663,-0.946,-3.433,-2.821,1
-0.931,0.416,-0.726,-2.138,-1.61,-2.531,3.572,1.299,4.668,-1.784,-2.218,-1.84,-2.241,0.876,-1.483,0.863,1.859,-2.311,-0.985,5.988,0
1.402,-2.449,0.454,-1.382,1.673,2.386,4.968,-3.451,-0.792,-0.564,0.936,2.893,2.126,-0.639,2.415,-0.017,0.581,1.465,-0.136,5.883,0
1.492,-1.047,2.66,1.107,-3.474,-1.534,-2.964,-1.023,-1.486,5.062,0.407,2.565,-2.423,-6.219,2.675,0.316,-0.858,1.469,-1.87,-6.218,1
-0.62,-1.502,0.27,6.406,-2.649,-4.217,-1.678,-5.877,1.497,-1.901,2.788,1.836,-1.824,-8.613,-0.95,2.078,3.451,3.107,-4.582,10.162,0
0.617,-2.02,0.679,2.442,6.016,-2.602,-5.608,-1.377,0.673,0.628,3.115,2.872,2.429,0.286,-0.733,1.823,3.852,4.167,-0.211,8.296,0
1.051,-0.807,0.388,-1.463,3.697,1.501,10.744,-2.264,-0.064,-4.615,-1.055,-0.896,0.273,4.798,-0.511,-2.087,0.277,4.883,-2.927,16.247,0
0.104,-0.402,-7.147,3.008,-5.08,3.847,-12.424,-0.818,-3.049,-0.784,0.414,-0.267,-0.197,0.964,1.182,2.175,2.635,2.843,-2.479,0.059,1
-1.123,1.033,-4.078,1.458,4.713,10.127,-7.609,2.748,-0.968,-4.838,-1.316,2.083,-0.29,7.351,1.964,2.854,2.023,2.209,-0.831,0.658,1
-1.466,1.708,-1.016,3.436,-4.564,1.497,-4.789,0.171,0.963,-1.12,-1.133,0.293,-1.992,-3.281,1.729,0.307,1.815,0.983,-2.404,-0.827,1
2.275,-4.112,1.889,0.92,1.334,6.069,-3.879,0.436,-1.517,-1.078,0.521,2.232,-0.733,5.683,2.639,2.626,4.087,1.431,-0.311,5.313,1
2.437,-2.298,0.695,3.927,-9.859,3.231,-4.558,-0.684,-1.497,-0.392,0.128,-1.366,-4.388,-1.183,3.709,0.19,1.969,1.296,-2.749,0.111,1
3.565,1.896,1.296,1.037,6.355,1.46,8.53,-3.22,0.548,-3.447,1.113,-0.665,-2.476,-0.708,-0.346,2.819,-0.854,1.606,-3.614,7.636,0
0.425,-6.546,-2.587,4.207,-10.804,2.102,-4.51,1.199,0.217,1.833,1.737,-1.217,2.642,-5.36,0.96,-1.392,-1.809,-1.478,-0.188,-3.955,1
5.639,-3.671,-0.538,-1.811,3.987,-0.113,8.503,-1,1.299,-2.39,-0.55,3.791,-1.368,-2.982,-0.939,-2.27,1.467,1.103,-1.789,15.32,0
0.848,-2.647,-2.309,-5.141,9.091,-0.485,11.238,3.847,2.457,-5.145,-0.172,-0.625,2.546,4.76,-3.834,-1.738,1.335,0.054,-5.451,17.978,0
0.99,-1.131,4.076,2.887,1.589,7.777,-0.995,0.476,-0.37,0.335,0.19,1.9,0.418,0.197,3.837,3.899,1.113,-0.51,-1.246,-3.152,1
0.81,-0.759,2.862,-1.892,-1.699,-0.66,12.514,-2.223,1.079,-0.666,-0.799,-1.489,0.788,-1.48,0.797,-2.51,-2.028,-0.11,-0.785,5.416,0
0.344,-1.05,1.191,0.299,-2.019,-0.08,4.777,-0.257,0.46,-0.25,-3.635,0.636,0.928,-1.762,-1.734,-2.465,2.559,0.776,-1.444,10.447,0
2.186,-1.512,-3.218,-5.962,12.879,-1.111,11.02,1.919,1.776,-4.326,1.39,1.769,2.128,1.976,-3.196,-0.276,0.187,0.099,-5.209,14.953,0
2.753,1.905,1.912,0.255,-0.98,-2.445,8.435,-1.821,-1.666,-0.069,3.002,-2.66,0.448,-7.714,0.303,-0.76,-1.26,-3.593,-4.983,-1.541,1
-0.678,-1.724,2.143,2.964,2.433,6.491,0.16,2.85,2.745,-4.179,-1.657,0.783,-1.257,5.34,1.543,0.706,1.599,3.152,-1.261,7.312,1
-0.859,-0.411,0.61,0.002,1.286,3.093,6.518,-3.325,0.313,-3.316,-1.021,0.748,3.755,1.985,0.676,-1.028,2.248,1.422,0.881,10.737,0
-2.372,3.313,2.069,-1.119,3.417,-7.427,4.733,-1.241,1.238,-0.415,2.912,1.732,0.903,-6.542,0.31,-4.103,-1.36,0.2,-0.753,-1.813,1
-2.418,-0.193,0.95,-5.353,7.446,-2.282,15.941,3.396,6.274,-3.739,-1.343,-1.302,3.848,0.217,-4.282,-0.718,-0.571,-5.962,-1.69,9.32,0
0.239,-1.122,-0.294,1.526,-2.413,5.734,-9.214,7.27,-2.078,1.683,-0.83,-5.029,0.062,9.996,0.183,0.59,-2.254,0.214,1.739,-10.409,1
0.495,0.298,0.035,2.094,0.438,-0.193,-7.836,0.359,1.315,-0.564,3.035,2.422,-3.997,-1.8,3.261,2.172,0.97,0.631,-0.254,-5.617,1
0.867,0.461,0.942,2.827,2.261,6.384,-3.773,1.112,0.092,1.756,-0.378,-0.231,3.92,2.277,1.876,2.65,-0.476,0.667,2.623,-4.508,1
2.519,-6.737,-2.234,0.459,-2.429,3.257,4.842,-3.422,-2.407,-5.946,-0.1,0.667,0.564,4.998,-0.661,-2.689,4.836,4.643,-2.994,23.508,0
1.675,-0.378,-0.153,-1.635,9.062,-1.716,5.297,0.322,2.973,-0.96,0.885,2.951,3.789,-2.225,-1.753,-0.283,1.522,-0.164,-0.093,9.423,0
3.017,-2.373,-1.962,-4.659,10.612,0.888,13.432,1.284,2.775,-5.915,1.27,-0.346,3.071,5.276,-1.387,-1.715,0.599,2.427,-4.081,20.142,0
2.113,-0.965,-2.865,-2.687,-0.156,1.248,7.845,-4.146,-1.697,-2.97,-2.037,1.612,0.475,0.229,-0.674,-2.701,0.884,1.527,0.069,12.083,0
0.908,-0.109,-0.457,1.889,-2.098,4.486,-1.566,1.96,-2.82,0.261,0.957,-3.021,0.538,1.033,0.383,0.747,-3.094,-1.874,-0.732,-8.835,1
1.461,-0.214,2.299,-0.628,-1.464,-1.654,11.236,-3.648,1.549,-3.158,-1.087,-3.017,-0.101,2.236,-1.571,-2.28,0.034,-0.122,2.536,10.778,0
1.092,-1.342,0.898,-2.527,7.198,-0.377,11.659,-0.938,2.274,-5.325,1.988,0.101,2.299,2.051,-2.482,-1.31,-0.646,-3.592,2.756,8.266,0
0.166,0.426,-0.94,-1.242,0.797,-0.038,-1.003,1.483,0.481,2.096,-0.103,1.208,3.792,-2.059,1.611,-1.549,0.872,0.486,-0.422,-0.074,0
-2.432,0.086,-1.04,-0.05,-0.243,-0.22,2.589,-1.043,-1.792,-2.383,-4.315,-0.325,0.486,3.017,-4.349,-1.32,3.691,2.692,-3.17,13.958,0
3.405,-0.665,-0.076,-0.082,0.32,0.931,4.824,-1.01,2.662,-0.306,-1.078,-2.003,-1.146,0.823,-0.105,2.426,0.203,0.863,-1.33,7.529,0
-2.099,-0.467,0.683,-0.963,2.228,3.158,-4.052,2.97,-0.889,-0.218,-1.446,0.93,-0.746,5.958,0.637,1.388,1.525,1.438,-1.277,-0.471,1
4.347,-1.808,1.908,0.552,5.705,0.276,1.882,-2.468,-1.125,-0.827,1.678,1.792,-0.767,2.248,-0.129,0.948,1.703,3.239,0.257,9.119,0
-1.973,2.2,1.249,0.066,-1.123,2.105,3.923,-1.267,-1.631,-0.262,0.047,2.378,0.566,-6.171,3.327,-1.838,-1.778,-0.408,-2.986,-5.721,0
-0.469,-2.052,-1.725,-0.475,-1.278,0.965,3.789,-2.058,-3.094,-5.172,-3.352,-0.488,-2.039,6.111,-4.233,-2.311,3.424,2.714,-1.755,16.627,0
-0.524,-1.469,-0.593,8.453,0.03,-7.316,-11.972,-4.706,-0.548,1.423,6.046,2.737,1.558,-10.31,-2.687,3.006,5.174,2.504,-3.01,4.648,0
0.636,-1.957,-3.445,4.447,-3.75,2.392,-12.015,1.406,-3.127,-0.628,0.901,1.703,-4.267,-2.311,-0.123,1.963,2.108,1.438,-4.737,-2.186,1
-0.567,-1.887,-1.093,-0.559,4.895,0.011,1.111,-1.09,0.852,-3.285,0.518,1.359,3.477,3.442,-2.644,0.724,4.571,-0.344,1.043,12.388,0
-1.421,-0.605,3.61,-1.23,5.666,-2.457,1.031,0.977,1.882,-2.966,1.442,1.114,-5.087,3.752,-1.717,3.311,2.052,-2.038,-1.151,2.286,0
-2.4,0.104,-0.207,0.838,-1.165,6.703,2.259,1.706,-2.396,-2.58,0.345,-2.257,1.782,2.436,1.047,0.333,-2.88,-2.397,-1.691,-7.004,1
-2.871,-0.835,1.183,0.981,2.523,2.19,-4.8,-0.334,-1.12,2.006,0.919,2.15,1.056,-0.622,-0.091,5.762,1.12,-1.809,-1.856,-5.825,1
-0.305,-1.853,-1.026,-2.12,-3.9,0.66,1.438,-2.222,-3.762,1.536,0.207,-2.774,0.321,3.717,-0.045,1.179,-1.632,0.481,-1.168,-1.445,1
-4.464,1.634,3.853,-2.253,-7.126,1.821,7.39,-0.534,-1.791,3.526,-5.545,-0.662,-0.317,-2.374,1.302,-1.67,-3.407,-1.466,-1.431,-8.077,0
2.572,3.399,2.295,-0.445,9.116,1.237,3.94,0.576,-2.99,-1.563,0.291,-1.722,1.051,4.046,-2.698,1.359,1.475,-0.414,-1.892,4.296,1
-0.393,1.057,2.602,-0.407,-0.531,5.098,2.637,3.15,1.051,-0.003,0.111,-2.599,2.259,2.24,4.191,0.905,-0.196,-1.522,-2.294,-4.21,1
0.756,-3.27,0.112,4.475,-0.77,-2.168,-4.877,-0.112,-0.755,3.931,2.346,2.03,3.413,-8.327,-1.188,0.552,0.941,1.591,-3.692,1.195,0
1.301,5.054,2.061,-0.674,10.533,1.531,4.94,-4.867,-2.322,-2.453,5.881,4.224,1.504,-3.929,4.93,0.224,-2.738,0.305,1.186,-7.586,0
1.15,-1.253,2.826,-1.893,-4.789,-5.847,2.312,-1.584,1.831,4.32,1.424,0.199,-2.436,-5.635,3.833,0.091,0.733,1.821,-4.678,1.038,1
-2.031,-0.897,0.598,1.928,-2.676,-4.528,-3.552,-2.614,0.413,0.955,3.089,-0.83,0.616,-3,-0.931,2.502,2.032,-1.605,-0.58,-0.982,0
0.951,-1.491,2.982,-0.748,12.872,-4.88,8.532,0.457,5.613,-4.944,5.745,-0.933,2.516,4.499,-2.287,-0.095,-0.257,1.097,1.608,11.841,0
4.117,-0.507,-1.569,0.497,2.154,2.743,3.039,1.631,1.123,1.052,-4.979,-1.187,-3.658,1.849,-2.206,2.306,-0.998,5.715,-5.762,10.901,0
1.506,-0.011,1.892,-0.474,6.874,1.689,2.632,-0.954,0,-0.082,0.957,1.039,3.287,2.332,0.48,1.91,2.117,1.478,-0.496,6.475,0
-4.23,-2.274,-1.609,-4.247,1.531,-0.755,10.941,-4.363,1.831,-5.527,1.401,1.674,-0.653,1.783,0.406,-0.582,-2.806,0.247,-0.332,5.857,1
4.595,2.282,-0.984,-0.476,10.912,7.125,-2.279,2.067,0.955,0.129,-2.262,1.602,3.936,7.558,1.181,2.059,1.98,3.779,3.817,6.184,0
-0.8,-1.718,5.512,0.782,-3.732,2.681,9.551,-2.278,1.165,-1.443,-2.744,-0.763,1.007,-0.614,-0.402,0.446,2.355,-4.076,0.908,6.184,0
-4.132,-2.242,-0.063,0.334,-1.127,1.959,-0.909,-2.054,-0.366,-2.823,0.426,3.207,-2.698,0.653,0.214,1.409,-1.158,-1.199,1.522,-3.79,1
5.465,2.411,1.294,-0.519,8.811,-0.291,4.756,-1.605,-0.534,0.68,3.136,-0.842,3.64,-0.92,0.087,1.738,0.431,-0.393,-0.041,3.332,1
3.427,-0.424,0.906,0.193,0.351,-5.702,2.999,-2.448,0.021,2.667,3.545,2.198,1.486,-11.506,0.397,-0.809,1.32,-2.076,-3.207,1.668,1
-1.351,0.255,-1.268,1.073,-4.423,5.986,0.635,-1.16,-0.701,-3.161,-1.397,-1.039,0.286,3.068,3.516,-0.492,0.875,2.206,-1.379,2.862,1
-2.855,2.532,-3.692,2.87,-3.279,7.741,-3.602,0.103,-3.329,-2.082,-2.536,-0.24,1.523,-0.808,0.83,0.848,-0.058,-0.007,-3.074,-4.187,1
-0.217,2.428,2.552,4.482,-0.205,10.084,-9.656,6.434,-2.166,2.636,-2.841,-2.386,0.654,6.054,2.289,2.278,-1.792,0.582,1.451,-14.407,1
1.322,1.397,3.178,-1.198,15.495,3.371,4.356,1.366,-3.023,-1.808,1.783,2.171,1.603,5.573,-1.239,1.674,-0.995,2.722,-2.388,3.017,0
3.574,2.296,-0.997,-0.507,5.809,-1.052,2.71,-0.639,1.937,-1.042,-0.774,-0.651,-2.983,1.083,-1.315,2.566,0.474,2.773,-2.542,7.943,0
-2.293,-0.753,0.9,1.054,-1.984,-5.914,2.17,-1.89,2.493,-1.402,2.51,2.254,-3.997,-7.638,0.044,-1.242,-1.65,-0.287,-2.175,-1.338,1
2.658,-1.542,1.189,3.482,0.191,0.053,-1.644,-0.1,0.975,-0.733,0.935,2.402,-1.346,-4.246,0.707,-0.778,2.049,1.615,-1.294,5.129,1
3.852,-3.123,-3.183,-0.696,2.349,2.155,2.52,-2.453,1.117,-4.513,1.998,4.217,-2.457,-2.084,1.766,0.296,1.619,0.494,-1.057,9.255,1
0.555,-1.222,-0.26,0.47,-7.492,-8.808,8.572,-4.046,4.113,1.342,3.858,-2.099,1.601,-14.243,-0.45,-1.391,-1.744,-5.327,-1.944,-0.111,0
-2.76,-2.277,1.806,1.848,0.799,7.229,3.507,-1.193,-1.237,-3.194,-3.21,2.675,1.974,3.03,-1.143,-0.14,0.442,-0.408,2.587,4.067,1
1.752,0.344,3.097,-1.581,4.384,0.952,-4.035,6.091,-0.751,2.067,-0.176,-0.768,0.617,6.198,0.79,-0.767,1.882,0.229,0.301,-2.094,1
-0.684,0.493,-4.225,2.225,-1.991,-0.292,-3.232,-2.983,-3.418,-0.964,1.606,2.581,-1.234,-7.4,-1.264,-0.331,-2.102,-1.002,-1.278,-5.838,1
3.327,1.037,-0.077,-2.27,2.827,-2.395,8.375,-0.397,-0.078,0.954,1.81,1.622,0.753,-7.556,2.781,-3.744,-2.518,2.667,-5.713,2.997,0
-4.07,-2.661,-1.324,-1.6,-7.702,3.9,-7.12,4.602,-2.152,0.422,-2.986,-4.703,-2.142,11.632,-0.067,1.626,0.582,0.122,-1.339,-4.211,1
-0.574,0.163,-2.6,-2.228,-5.829,0.212,2.93,-3.65,0.933,-0.916,4.388,-4.086,0.683,1.167,6.947,1.213,-2.153,2.301,-3.248,-2.266,1
3.208,0.265,0.584,0.595,0.694,5.805,3.574,1.988,-2.551,-1.747,2.933,-5.238,-1.399,4.273,1.788,1.606,-5.617,-1.89,-1.418,-9.541,1
-2.723,-4.794,-2.186,-0.201,-10.154,6.157,-1.842,-0.142,-2.946,1.188,-0.762,-3.204,1.528,4.997,2.367,0.828,-3.174,0.194,-0.157,-6.439,1
-0.916,-3.577,-1.271,2.231,-3.477,7.547,-6.391,-0.806,-6.298,-0.933,-2.136,2.296,0.553,3.527,-0.863,1.24,3.165,-0.208,-0.277,1.201,1
-0.669,-0.704,1.766,-1.764,0.581,0.323,9.508,-0.32,-0.44,-2.907,1.436,-3.144,-0.89,2.471,0.754,-0.278,-1.765,0.919,-5.697,4.653,1
-1.043,1.247,-1.364,2.871,3.561,-0.52,-4.792,0.994,3.184,-2.078,-0.202,2.778,-0.634,-1.944,-0.741,0.378,2.121,1.974,0.077,3.926,1
